timestamp,n_tickers,n_agents,t_feature,t_agent_calls,t_prompt_build,t_llm_call,t_parse,t_total,prompt_tokens,completion_tokens,llm_cost_usd,n_trades
2026-04-01 16:30:00+00:00,147,3,0.0,0.00864980003098026,0.00030019995756447315,3.6306402000482194,2.6800029445439577e-05,3.6396214000415057,1452,257,0.00037199999999999993,3
2026-04-02 13:45:00+00:00,147,3,0.0,0.033794800052419305,0.0003095000283792615,8.921760500001255,3.4599972423166037e-05,8.95590339996852,1814,637,0.0006542999999999999,8
2026-04-02 17:30:00+00:00,147,3,0.0,0.01124100002925843,0.00034169998252764344,163.04475300002377,3.3400021493434906e-05,163.05637460004073,1358,676,0.0006093,8
2026-04-06 14:45:00+00:00,147,3,0.0,0.010867099976167083,0.00040359998820349574,3.3149364000419155,5.150004290044308e-05,3.326270100020338,807,256,0.00027465,3
2026-04-06 18:30:00+00:00,147,3,0.0,0.006054099998436868,0.00018919998547062278,1.9647502999869175,2.429995220154524e-05,1.9710269999923185,662,113,0.0001671,1
2026-04-07 15:45:00+00:00,147,3,0.0,0.00854139996226877,0.00027409999165683985,4.102123800024856,2.5099958293139935e-05,4.1109685999690555,1244,339,0.00039,4
2026-04-07 19:30:00+00:00,147,3,0.0,0.006797800015192479,0.00041959999362006783,2.51439109997591,1.850002445280552e-05,2.521630900038872,1175,181,0.00028485,2
2026-04-08 16:45:00+00:00,147,3,0.0,0.013506000046618283,0.0003133999998681247,5.201678799989168,1.9899976905435324e-05,5.215521100035403,1639,439,0.0005092499999999999,5
2026-04-09 14:00:00+00:00,147,3,0.0,0.005937300040386617,0.000278900028206408,4.517427699989639,3.319996176287532e-05,4.523680299986154,1537,357,0.00044474999999999994,4
2026-04-09 17:45:00+00:00,147,3,0.0,0.010384199966210872,0.0005322000361047685,5.413401799974963,3.170000854879618e-05,5.424354000017047,1261,503,0.00049095,6
2026-04-10 15:00:00+00:00,147,3,0.0,0.019950599991716444,0.00027570000384002924,5.736180900014006,9.419996058568358e-05,5.756517999980133,1673,415,0.00049995,5
2026-04-10 18:45:00+00:00,147,3,0.0,0.026446899981237948,0.00019350001821294427,4.807224599993788,3.290001768618822e-05,4.833901199977845,1171,328,0.00037245,4
2026-04-13 16:00:00+00:00,147,3,0.0,0.0319139999919571,0.0023459999938495457,6.203193599998485,2.3300002794712782e-05,6.237480800016783,1380,335,0.000408,4
2026-04-13 19:45:00+00:00,147,3,0.0,0.010398800019174814,0.00037699996028095484,5.350810500036459,3.3999967854470015e-05,5.36162380001042,1310,330,0.0003945,4
2026-04-14 17:00:00+00:00,147,3,0.0,0.02578130003530532,0.00023850001161918044,3.9640983000281267,2.050003968179226e-05,3.99014220002573,1312,258,0.0003516,3
2026-04-15 14:15:00+00:00,147,3,0.0,0.01751279999734834,0.0002902999985963106,4.688605599978473,2.239999594166875e-05,4.706434799998533,1242,268,0.0003470999999999999,3
2026-04-15 18:00:00+00:00,147,3,0.0,0.013162399991415441,0.00027279998175799847,5.429563599987887,2.95999925583601e-05,5.443033099989407,1452,339,0.0004212,4
2026-04-16 15:15:00+00:00,147,3,0.0,0.01721060002455488,0.00026480003725737333,6.14770440000575,3.819999983534217e-05,6.165222599986009,1383,412,0.00045465,5
2026-04-16 19:00:00+00:00,147,3,0.0,0.010649200004991144,0.00022639997769147158,5.773216600005981,2.0899984519928694e-05,5.784116499999072,1171,330,0.00037365,4
2026-04-17 16:15:00+00:00,147,3,0.0,0.008998100005555898,0.00042260001646354795,7.126258399977814,6.170000415295362e-05,7.135747299995273,1528,560,0.0005652,7
